image_name,channel,plate,row,column,time,plane,resolution_x,resolution_y,resolution_z,center_x,center_y,center_z,fov
p1_wF14_t1_m12_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14672.09027322907,0.0,p1_wF14_t1_m12
p1_wF14_t1_m12_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14672.09027322907,0.0,p1_wF14_t1_m12
p1_wF14_t1_m12_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14672.09027322907,0.0,p1_wF14_t1_m12
p1_wF14_t1_m12_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14672.09027322907,0.0,p1_wF14_t1_m12
p1_wF14_t1_m12_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40601.52811039558,14672.09027322907,0.0,p1_wF14_t1_m12
p1_wF14_t1_m13_c1_z0_l1_o0,1,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14672.09027322907,0.0,p1_wF14_t1_m13
p1_wF14_t1_m13_c2_z0_l1_o0,2,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14672.09027322907,0.0,p1_wF14_t1_m13
p1_wF14_t1_m13_c3_z0_l1_o0,3,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14672.09027322907,0.0,p1_wF14_t1_m13
p1_wF14_t1_m13_c4_z0_l1_o0,4,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14672.09027322907,0.0,p1_wF14_t1_m13
p1_wF14_t1_m13_c5_z0_l1_o0,5,1,14,6,1,0,0.14949402023919042,0.14949402023919042,1.0,40294.76611039558,14672.09027322907,0.0,p1_wF14_t1_m13
