donor,well,fov,id,umap_x,umap_y
AML1_M2,F2,45,7,0.60722184,6.074306
AML1_M2,H2,15,11,-0.080383986,6.3288517
AML1_M2,B2,18,34,3.4699433,-0.7702027
AML1_M2,B2,81,19,2.7088778,6.808616
AML1_M2,H2,11,5,-2.1461782,3.5892382
AML1_M2,F2,117,11,-2.2059205,5.7826843
AML1_M2,J2,157,7,-1.4830867,5.323557
AML1_M2,D2,178,10,1.864476,1.9192667
AML1_M2,J2,184,20,-2.9413073,-1.7832826
AML1_M2,D2,23,4,0.32469127,5.7048283
AML1_M2,D2,238,4,-2.5219946,5.7311172
AML1_M2,B2,62,26,-0.45630264,5.6557674
AML1_M2,B2,183,19,-2.8753943,-0.9763441
AML1_M2,H2,147,14,-0.73059803,-1.7252582
AML1_M2,B2,199,7,-1.9423298,5.5600514
AML1_M2,B2,61,20,1.0231522,5.4450197
AML1_M2,H2,161,13,-0.22435814,-2.5969496
AML1_M2,B2,9,37,2.1917908,2.4082196
AML1_M2,B2,43,7,-1.1386832,5.6185327
AML1_M2,J2,237,3,-2.4120092,5.6668143
AML1_M2,B2,139,10,-1.9675759,6.161429
AML1_M2,F2,93,10,-1.6237923,4.787521
AML1_M2,J2,72,32,3.3793993,-0.717767
AML1_M2,F2,194,14,-0.72071034,2.6697834
AML1_M2,B2,135,23,2.4867096,2.0992117
AML1_M2,J2,102,5,2.4624283,3.172019
AML1_M2,J2,165,4,0.40047085,6.083041
AML1_M2,J2,83,15,-2.1553068,5.372749
AML1_M2,H2,205,11,2.077673,1.7830878
AML1_M2,H2,121,6,-1.0620263,5.6309686
AML1_M2,B2,21,3,0.7557468,5.834408
AML1_M2,F2,104,21,0.33548176,-0.4418177
AML1_M2,J2,221,7,-1.4351807,5.7658434
AML1_M2,H2,232,20,2.4551187,2.0563412
AML1_M2,B2,53,1,-1.6146125,5.8332376
AML1_M2,H2,190,9,0.7592055,5.9173226
AML1_M2,J2,67,10,1.4987968,2.1980355
AML1_M2,H2,8,19,0.37802887,5.652819
AML1_M2,B2,31,30,-0.03680192,3.3969266
AML1_M2,F2,118,15,-2.4622152,-0.8275529
AML1_M2,F2,121,23,1.255681,2.0942497
AML1_M2,D2,67,6,-2.5260732,5.6859183
AML1_M2,B2,160,18,-1.3168329,5.058841
AML1_M2,J2,252,8,-2.8046837,5.667594
AML1_M2,J2,49,4,-1.4982951,5.3099585
AML1_M2,H2,215,2,-1.8087802,5.62628
AML1_M2,B2,22,6,1.0775464,7.222007
AML1_M2,B2,68,1,-0.9795047,6.0453415
AML1_M2,F2,37,3,-1.0726035,5.6927524
AML1_M2,F2,94,6,-1.3596972,5.4703903
AML1_M2,H2,141,3,-1.9902959,5.247619
AML1_M2,B2,53,15,-1.7162958,6.120334
AML1_M2,B2,107,5,1.355545,2.1867282
AML1_M2,F2,243,6,3.3697073,-1.1145319
AML1_M2,H2,7,5,1.4982917,2.1365047
AML1_M2,H2,218,11,-0.92143095,5.6228824
AML1_M2,H2,67,11,2.3134043,8.366555
AML1_M2,J2,93,10,1.5356753,1.8770435
AML1_M2,F2,216,1,-2.3814194,5.9782686
AML1_M2,H2,151,7,2.1918511,1.8036506
AML1_M2,H2,71,6,-1.1660438,6.1916227
AML1_M2,J2,223,10,-0.44327354,4.4800067
AML1_M2,B2,248,7,-1.8936795,5.5195737
AML1_M2,B2,140,19,-2.6306632,5.8374577
AML1_M2,F2,214,20,2.6564844,5.6986423
AML1_M2,F2,250,2,1.5531797,6.1070447
AML1_M2,F2,221,5,-1.4022166,5.7430696
AML1_M2,D2,55,6,-1.515818,7.104287
AML1_M2,D2,88,5,-2.2075853,5.121262
AML1_M2,F2,75,10,3.5285559,-1.3189986
AML1_M2,F2,159,5,-1.5338608,5.208991
AML1_M2,D2,60,9,-1.6762329,5.506051
AML1_M2,B2,252,7,-1.7964932,5.3185444
AML1_M2,J2,186,6,-0.5008179,-0.06871908
AML1_M2,H2,166,12,-1.0247983,5.7194915
AML1_M2,F2,122,6,-1.7836902,5.880633
AML1_M2,H2,221,9,-1.554768,5.824232
AML1_M2,J2,257,3,3.022739,7.2047043
AML1_M2,J2,90,15,0.20884341,-0.54249233
AML1_M2,B2,183,18,-2.0026588,5.3028436
AML1_M2,J2,95,6,1.5717819,1.7547635
AML1_M2,B2,194,7,7.0471234,4.4011974
AML1_M2,H2,103,4,0.21640803,4.2413936
AML1_M2,J2,61,3,3.1754818,7.203846
AML1_M2,J2,29,24,0.9047114,4.6068196
AML1_M2,D2,80,14,2.7411625,5.860298
AML1_M2,J2,149,3,-2.1109982,5.825285
AML1_M2,J2,70,11,-1.330884,5.378697
AML1_M2,B2,69,4,-1.1873885,5.2244496
AML1_M2,B2,242,21,0.18715382,5.308454
AML1_M2,D2,187,6,1.9041554,2.043528
AML1_M2,J2,158,12,-0.064660795,2.5154817
AML1_M2,B2,122,2,-2.375651,5.77133
AML1_M2,F2,85,20,0.16235791,4.771004
AML1_M2,B2,123,7,-2.0333388,5.629927
